"ImageScalars","FlowMap:0","FlowMap:1","FlowMap:2","FTLE","seeded","Result_X"
0,5.6939,1.4583,0.5,1.6285,1,0.81367
0,5.898,1.4583,0.5,1.6285,1,0.97918
0,6.102,1.4583,0.5,1.6285,1,0.97918
0,6.3061,1.4583,0.5,1.8424,1,0.81367
0,4.5102,1.4583,0.5,1.8424,1,0.50259
0,4.7143,1.4583,0.5,1.6285,1,0.14768
0,4.9184,1.4583,0.5,1.6285,1,0.0067206
0,5.1224,1.4583,0.5,1.6285,1,0.41749
0,5.3265,1.4583,0.5,2.0407,1,1.3689
0,7.5306,1.4583,0.5,2.0407,1,1.9996
0,7.7347,1.4583,0.5,1.6285,1,1.2618
0,7.9388,1.4583,0.5,1.6285,1,0.056012
0,8.1429,1.4583,0.5,1.6285,1,0.76122
0,8.3469,1.4583,0.5,1.8424,1,1.9998
0,6.551,1.4583,0.5,1.8424,1,0.5659
0,6.7551,1.4583,0.5,1.6285,1,0.49724
0,6.9592,1.4583,0.5,1.6285,1,1.9726
0,7.1633,1.4583,0.5,1.6285,1,0.082027
0,7.3673,1.4583,0.5,2.0407,1,1.6341
0,9.5714,1.4583,0.5,2.0407,1,0.63144
0,9.7755,1.4583,0.5,1.6285,1,1.2325
0,9.9796,1.4583,0.5,1.6285,1,0.74449
0,10.184,1.4583,0.5,1.6285,1,1.4338
0,10.388,1.4583,0.5,1.8424,1,0.2787
0,8.5918,1.4583,0.5,1.8424,1,1.971
0,8.7959,1.4583,0.5,1.6285,1,0.098933
7.5697e+173,9,1.4583,0.5,1.6285,1,1.2624
0,0,1.6667,0.5,1.775,1,1.2624
0,1.2041,1.6667,0.5,1.7998,1,0.098933
0,1.4082,1.6667,0.5,1.6285,1,1.971
0,1.6122,1.6667,0.5,1.6285,1,0.2787
0,1.8163,1.6667,0.5,1.6285,1,1.4338
0,2.0204,1.6667,0.5,1.6285,1,0.74449
0,2.2245,1.6667,0.5,1.6285,1,1.2325
0,2.4286,1.6667,0.5,1.6285,1,0.63144
0,2.6327,1.6667,0.5,1.6285,1,1.6341
0,2.8367,1.6667,0.5,1.8424,1,0.082027
0,1.0408,1.6667,0.5,1.8424,1,1.9726
0,1.2449,1.6667,0.5,1.6285,1,0.49724
0,1.449,1.6667,0.5,1.6285,1,0.5659
0,1.6531,1.6667,0.5,1.6285,1,1.9998
0,1.8571,1.6667,0.5,1.6285,1,0.76122
0,2.0612,1.6667,0.5,1.6285,1,0.056012
0,2.2653,1.6667,0.5,2.0407,1,1.2618
0,4.4694,1.6667,0.5,2.0407,1,1.9996
0,4.6735,1.6667,0.5,1.6285,1,1.3689
0,4.8776,1.6667,0.5,1.6285,1,0.41749
0,5.0816,1.6667,0.5,1.6285,1,0.0067206
0,5.2857,1.6667,0.5,1.8424,1,0.14768
0,3.4898,1.6667,0.5,1.8424,1,0.50259
0,3.6939,1.6667,0.5,1.6285,1,0.81367
0,3.898,1.6667,0.5,1.6285,1,0.97918
0,4.102,1.6667,0.5,1.6285,1,0.97918
0,4.3061,1.6667,0.5,2.0407,1,0.81367
0,6.5102,1.6667,0.5,2.0407,1,0.50259
0,6.7143,1.6667,0.5,1.6285,1,0.14768
0,6.9184,1.6667,0.5,1.6285,1,0.0067206
0,7.1224,1.6667,0.5,1.6285,1,0.41749
0,7.3265,1.6667,0.5,1.8424,1,1.3689
0,5.5306,1.6667,0.5,1.8424,1,1.9996
0,5.7347,1.6667,0.5,1.6285,1,1.2618
0,5.9388,1.6667,0.5,1.6285,1,0.056012
0,6.1429,1.6667,0.5,1.6285,1,0.76122
0,6.3469,1.6667,0.5,2.0407,1,1.9998
0,8.551,1.6667,0.5,2.0407,1,0.5659
0,8.7551,1.6667,0.5,1.6285,1,0.49724
0,8.9592,1.6667,0.5,1.6285,1,1.9726
0,9.1633,1.6667,0.5,1.6285,1,0.082027
0,9.3673,1.6667,0.5,1.8424,1,1.6341
0,7.5714,1.6667,0.5,1.8424,1,0.63144
0,7.7755,1.6667,0.5,1.6285,1,1.2325
0,7.9796,1.6667,0.5,1.6285,1,0.74449
0,8.1837,1.6667,0.5,1.6285,1,1.4338
0,8.3878,1.6667,0.5,2.0407,1,0.2787
0,10.592,1.6667,0.5,2.0407,1,1.971
0,10.796,1.6667,0.5,1.6285,1,0.098933
1.4573e+102,11,1.6667,0.5,1.6285,1,1.2624
0,0,1.875,0.5,1.775,1,1.2624
0,1.2041,1.875,0.5,1.2384,1,0.098933
0,1.4082,1.875,0.5,-9.5367e-08,1,1.971
0,1.6122,1.875,0.5,-9.5367e-08,1,0.2787
0,1.8163,1.875,0.5,1.0757e-07,1,1.4338
0,2.0204,1.875,0.5,-9.5367e-08,1,0.74449
0,2.2245,1.875,0.5,1.0757e-07,1,1.2325
0,2.4286,1.875,0.5,1.0757e-07,1,0.63144
0,2.6327,1.875,0.5,1.0757e-07,1,1.6341
0,2.8367,1.875,0.5,1.361,1,0.082027
0,1.0408,1.875,0.5,1.361,1,1.9726
0,1.2449,1.875,0.5,1.0757e-07,1,0.49724
0,1.449,1.875,0.5,1.0757e-07,1,0.5659
0,1.6531,1.875,0.5,-9.5367e-08,1,1.9998
0,1.8571,1.875,0.5,-9.5367e-08,1,0.76122
0,2.0612,1.875,0.5,3.9921e-07,1,0.056012
0,2.2653,1.875,0.5,1.775,1,1.2618
0,4.4694,1.875,0.5,1.775,1,1.9996
0,4.6735,1.875,0.5,6.9142e-07,1,1.3689
0,4.8776,1.875,0.5,-9.5347e-08,1,0.41749
0,5.0816,1.875,0.5,-9.5347e-08,1,0.0067206
0,5.2857,1.875,0.5,1.361,1,0.14768
0,3.4898,1.875,0.5,1.361,1,0.50259
0,3.6939,1.875,0.5,1.0757e-07,1,0.81367
0,3.898,1.875,0.5,1.0757e-07,1,0.97918
0,4.102,1.875,0.5,-9.5347e-08,1,0.97918
0,4.3061,1.875,0.5,1.775,1,0.81367
0,6.5102,1.875,0.5,1.775,1,0.50259
0,6.7143,1.875,0.5,-9.5347e-08,1,0.14768
0,6.9184,1.875,0.5,-9.5347e-08,1,0.0067206
0,7.1224,1.875,0.5,-9.5347e-08,1,0.41749
0,7.3265,1.875,0.5,1.361,1,1.3689
0,5.5306,1.875,0.5,1.361,1,1.9996
0,5.7347,1.875,0.5,-9.5347e-08,1,1.2618
